Local;Vitórias;Empates;Derrotas;Gols Marcados;Gols Sofridos;Média Gols Marcados;Média Gols Sofridos
Casa;14;5;0;46;8;2,42;0,42
Fora;9;5;5;32;19;1,68;1,00
